"geoid","county","state","language","estimate"
"47179","Washington County","Tennessee","langTotal",NA
"47179","Washington County","Tennessee","english",NA
"47179","Washington County","Tennessee","spanish",NA
"47179","Washington County","Tennessee","spEngless",NA
"47179","Washington County","Tennessee","frHaitcaj",NA
"47179","Washington County","Tennessee","frEngless",NA
"47179","Washington County","Tennessee","germanic",NA
"47179","Washington County","Tennessee","gerEngless",NA
"47179","Washington County","Tennessee","rusPolslav",NA
"47179","Washington County","Tennessee","rusEngless",NA
"47179","Washington County","Tennessee","othrIndoeuro",NA
"47179","Washington County","Tennessee","indeuroEngless",NA
"47179","Washington County","Tennessee","korean",NA
"47179","Washington County","Tennessee","korEngless",NA
"47179","Washington County","Tennessee","chinese",NA
"47179","Washington County","Tennessee","chEngless",NA
"47179","Washington County","Tennessee","vietnamese",NA
"47179","Washington County","Tennessee","vietEngless",NA
"47179","Washington County","Tennessee","tagalog",NA
"47179","Washington County","Tennessee","tgEngless",NA
"47179","Washington County","Tennessee","othrPaci",NA
"47179","Washington County","Tennessee","paciEngless",NA
"47179","Washington County","Tennessee","arabic",NA
"47179","Washington County","Tennessee","arEngless",NA
"47179","Washington County","Tennessee","othrUnspec",NA
"47179","Washington County","Tennessee","unspecEngless",NA
"47187","Williamson County","Tennessee","total_pop",238412
"47187","Williamson County","Tennessee","langTotal",225369
"47187","Williamson County","Tennessee","english",204119
"47187","Williamson County","Tennessee","spanish",10561
"47187","Williamson County","Tennessee","spEngless",2974
"47187","Williamson County","Tennessee","frHaitcaj",775
"47187","Williamson County","Tennessee","frEngless",53
"47187","Williamson County","Tennessee","germanic",256
"47187","Williamson County","Tennessee","gerEngless",0
"47187","Williamson County","Tennessee","rusPolslav",872
"47187","Williamson County","Tennessee","rusEngless",32
"47187","Williamson County","Tennessee","othrIndoeuro",2958
"47187","Williamson County","Tennessee","indeuroEngless",465
"47187","Williamson County","Tennessee","korean",956
"47187","Williamson County","Tennessee","korEngless",289
"47187","Williamson County","Tennessee","chinese",1173
"47187","Williamson County","Tennessee","chEngless",552
"47187","Williamson County","Tennessee","vietnamese",80
"47187","Williamson County","Tennessee","vietEngless",0
"47187","Williamson County","Tennessee","tagalog",856
"47187","Williamson County","Tennessee","tgEngless",136
"47187","Williamson County","Tennessee","othrPaci",2226
"47187","Williamson County","Tennessee","paciEngless",914
"47187","Williamson County","Tennessee","arabic",412
"47187","Williamson County","Tennessee","arEngless",228
"47187","Williamson County","Tennessee","othrUnspec",125
"47187","Williamson County","Tennessee","unspecEngless",24
"47189","Wilson County","Tennessee","total_pop",144657
"47189","Wilson County","Tennessee","langTotal",NA
"47189","Wilson County","Tennessee","english",NA
"47189","Wilson County","Tennessee","spanish",NA
"47189","Wilson County","Tennessee","spEngless",NA
"47189","Wilson County","Tennessee","frHaitcaj",NA
"47189","Wilson County","Tennessee","frEngless",NA
"47189","Wilson County","Tennessee","germanic",NA
"47189","Wilson County","Tennessee","gerEngless",NA
"47189","Wilson County","Tennessee","rusPolslav",NA
"47189","Wilson County","Tennessee","rusEngless",NA
"47189","Wilson County","Tennessee","othrIndoeuro",NA
"47189","Wilson County","Tennessee","indeuroEngless",NA
"47189","Wilson County","Tennessee","korean",NA
"47189","Wilson County","Tennessee","korEngless",NA
"47189","Wilson County","Tennessee","chinese",NA
"47189","Wilson County","Tennessee","chEngless",NA
"47189","Wilson County","Tennessee","vietnamese",NA
"47189","Wilson County","Tennessee","vietEngless",NA
"47189","Wilson County","Tennessee","tagalog",NA
"47189","Wilson County","Tennessee","tgEngless",NA
"47189","Wilson County","Tennessee","othrPaci",NA
"47189","Wilson County","Tennessee","paciEngless",NA
"47189","Wilson County","Tennessee","arabic",NA
"47189","Wilson County","Tennessee","arEngless",NA
"47189","Wilson County","Tennessee","othrUnspec",NA
"47189","Wilson County","Tennessee","unspecEngless",NA
